Country/Territory,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²)
Djibouti,1120849,1090156,1006259,919199,742033,577173,324121,144379,23200
Dominica,72737,71995,70007,68755,68346,69481,72978,68895,751
Dominican Republic,11228821,10999664,10405832,9775755,8540791,7129004,5755800,4475871,48671
DR Congo,99010212,92853164,78656904,66391257,48616317,35987541,26708686,20151733,2344858
Ecuador,18001000,17588595,16195902,14989585,12626507,10449837,8135845,6172215,276841
Egypt,110990103,107465134,97723799,87252413,71371371,57214630,43748556,34781986,1002450
El Salvador,6336392,6292731,6231066,6114034,5958482,5367179,4508992,3619090,21041
Equatorial Guinea,1674908,1596049,1346973,1094524,684977,465549,282509,316955,28051
Eritrea,3684032,3555868,3340006,3147727,2392880,2149960,1657982,1272748,117600
Estonia,1326062,1329444,1314657,1331535,1396877,1570674,1476983,1361999,45227
Eswatini,1201670,1180655,1133936,1099920,1030496,854011,598564,442865,17364
Ethiopia,123379924,117190911,102471895,89237791,67031867,47878073,34945469,28308246,1104300
Falkland Islands,3780,3747,3408,3187,3080,2332,2240,2274,12173
Faroe Islands,53090,52415,48816,48410,45660,47479,43054,38416,1393
Fiji,929766,920422,917200,905169,832509,780430,644582,527634,18272
Finland,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,338424
France,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695
French Guiana,304557,290969,257026,228453,164351,113931,66825,46484,83534
French Polynesia,306279,301920,291787,283788,250927,211089,163591,117891,4167
Gabon,2388992,2292573,2028517,1711105,1272935,983028,749078,597192,267668
Gambia,2705992,2573995,2253133,1937275,1437539,1040616,718586,528731,10689
Georgia,3744385,3765912,3771132,3836831,4265172,5391636,5145843,4800426,69700
Germany,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,357114
Ghana,33475870,32180401,28870939,25574719,19665502,15446982,11865246,8861895,238533
Gibraltar,32649,32709,32520,31262,27741,27317,28734,26685,6
Greece,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990
Greenland,56466,56026,55895,56351,56184,55599,50106,45434,2166086
Grenada,125438,123663,118980,114039,107432,99047,94838,98794,344
Guadeloupe,395752,395642,399089,403072,424067,391951,334234,318310,1628
Guam,171774,169231,167978,164905,160188,138263,110286,88300,549
Guatemala,17843908,17362718,16001107,14543121,11735894,9084780,6987767,5453208,108889
Guernsey,63301,62794,61629,60782,59114,57727,52860,52656,78
Guinea,13859341,13205153,11625998,10270728,8336967,6354145,4972609,4222374,245857
Guinea-Bissau,2105566,2015828,1788919,1567220,1230849,973551,831462,591663,36125
Guyana,808726,797202,755031,747932,759051,747116,778176,705261,214969
Haiti,11584996,11306801,10563757,9842880,8360225,6925331,5646676,4680812,27750
Honduras,10432860,10121763,9294505,8450933,6656725,5053234,3777990,2782753,112492
Hong Kong,7488865,7500958,7399838,7132438,6731195,5838574,4978544,3955072,1104
Hungary,9967308,9750573,9844246,9986825,10202055,10375989,10698679,10315366,93028
Iceland,372899,366669,331060,318333,281462,255019,228263,204468,103000
India,1417173173,1396387127,1322866505,1240613620,1059633675,870452165,696828385,557501301,3287590
Indonesia,275501339,271857970,259091970,244016173,214072421,182159874,148177096,115228394,1904569
Iran,88550570,87290193,81790841,75373855,65544383,55793629,38520664,28449705,1648195
Iraq,44496122,42556984,37757813,31264875,24628858,17658381,13653369,9811347,438317
Ireland,5023109,4946119,4665760,4524585,3768950,3485374,3391387,2937637,70273
Isle of Man,84519,84046,83593,83828,75562,68865,64022,55298,572
Israel,9038309,8757489,8007778,7328445,6116958,4803254,3744608,2907307,20770
Italy,59037474,59500579,60232906,59822450,56966397,56756561,56329482,53324036,301336
Ivory Coast,28160542,26811790,23596741,21120042,16799670,11910540,8303809,5477086,322463
Jamaica,2827377,2820436,2794445,2733896,2612205,2392030,2135546,1859091,10991
Japan,123951692,125244761,127250933,128105431,126803861,123686321,117624196,105416839,377930
Jersey,110778,108319,100561,96151,86192,82874,75124,68347,116
Jordan,11285869,10928721,9494246,6931258,5056174,3480587,2216903,1557374,89342
Kazakhstan,19397998,18979243,17835909,16627837,15236253,16866563,14172710,12265305,2724900
Kenya,54027487,51985780,46851488,41517895,30851606,23162269,16187124,11473087,580367
Kiribati,131232,126463,116707,107995,88826,75124,60813,57437,811
Kuwait,4268873,4360444,3908743,2943356,1934901,1674938,1493870,802786,17818
Kyrgyzstan,6630623,6424874,5914980,5483774,4935182,4394734,3691209,3016384,199951
Laos,7529475,7319399,6787419,6323418,5430853,4314443,3297519,2675283,236800
Latvia,1850651,1897052,1991955,2101530,2392530,2689391,2572037,2397414,64559
Lebanon,5489739,5662923,6398940,4995800,4320642,3593700,2963702,2381791,10452
Lesotho,2305825,2254100,2118521,2022747,1998630,1798997,1407672,1023481,30355
Liberia,5302681,5087584,4612329,4019956,2895224,2209731,1932169,1463563,111369
Libya,6812341,6653942,6192235,6491988,5154790,4236983,2962720,1909177,1759540
Liechtenstein,39327,38756,37355,35926,33026,28765,25003,21089,160
Lithuania,2750055,2820267,2963765,3139019,3599637,3785847,3521206,3210147,65300
Luxembourg,647599,630399,569408,507070,435628,381267,363741,339342,2586
Macau,695168,676283,615239,557297,431896,350227,245332,247284,30
Madagascar,29611714,28225177,24850912,21731053,16216431,11882762,8948162,6639751,587041
Malawi,20405317,19377061,16938942,14718422,11229387,9539665,6267369,4625141,118484
Malaysia,33938221,33199993,31068833,28717731,22945150,17517054,13215707,10306508,330803
Maldives,523787,514438,435582,361575,282507,224957,164887,123243,300
Mali,22593590,21224040,18112907,15529181,11239101,8945026,7372581,6153587,1240192
Malta,533286,515357,456579,418755,399212,365392,333587,315414,316
Marshall Islands,41569,43413,49410,53416,54224,46047,31988,23969,181
Martinique,367507,370391,383515,392181,432543,374271,333786,326428,1128
Mauritania,4736139,4498604,3946220,3419461,2695003,2006027,1506694,1122198,1030700
Mauritius,1299469,1297828,1293153,1283330,1215930,1090290,954865,830115,2040
Mayotte,326101,305587,249545,211786,159215,92659,52233,35383,374
Mexico,127504125,125998302,120149897,112532401,97873442,81720428,67705186,50289306,1964375
Micronesia,114164,112106,109462,107588,111709,98603,76299,58989,702
Moldova,3272996,3084847,3277388,3678186,4251573,4480199,4103240,3711140,33846
Monaco,36469,36922,36760,33178,32465,30329,27076,24270,2
